r_cm,nSF6_m-3,nSF5_m-3,nSF4_m-3,nSF3_m-3,nSF2_m-3,nSF_m-3,nS_m-3,nF_m-3,nF2_m-3
0.15111271804043516,3.2585584284281946e+19,1.6020910942582333e+19,4.39552250122144e+19,1.3160353780312916e+19,1.5862896398151348e+19,8.979179826322538e+18,8.955765922690427e+18,2.9435049822218846e+20,3.716051462609934e+17
0.4531642392322628,3.2689973495929803e+19,1.6029862767468796e+19,4.396381495035795e+19,1.3142971196198238e+19,1.5846883479612981e+19,8.971685615754425e+18,8.949145467463461e+18,2.9345834993694376e+20,3.7147117649644954e+17
0.754694815467764,3.2897798534228263e+19,1.6047128702883344e+19,4.398063082758593e+19,1.310840160732239e+19,1.5815149457810373e+19,8.956824817940765e+18,8.936000766805821e+18,2.9168709225290868e+20,3.7120422972911366e+17
1.0553598080104576,3.320715028764364e+19,1.6071464046000579e+19,4.400496428663127e+19,1.3057033951174615e+19,1.576826714646431e+19,8.934848468795857e+18,8.916522197644722e+18,2.8906256946645978e+20,3.708063383964879e+17
1.3548185378002071,3.361516069564981e+19,1.610107757880851e+19,4.403580048003506e+19,1.2989446008716526e+19,1.5707069375651736e+19,8.906122806237429e+18,8.890990199176952e+18,2.8562295075515934e+20,3.702806596896283e+17
1.652735815439179,3.41180023568303e+19,1.6133719729017537e+19,4.4071871480894915e+19,1.2906397461890243e+19,1.5632619086958166e+19,8.871117461715535e+18,8.859769077102378e+18,2.8141797874517957e+20,3.6963158236006394e+17
1.9487834183683697,3.471089484345373e+19,1.6166795129204904e+19,4.411172153834779e+19,1.2808820361644982e+19,1.5546172231614675e+19,8.83039061386882e+18,8.823298700158652e+18,2.7650791965361973e+20,3.688648334254536e+17
2.2426415016516534,3.538812088448452e+19,1.6197494892234686e+19,4.4153779793009164e+19,1.269780684643691e+19,1.54491355333847e+19,8.784571781467752e+18,8.782084117590716e+18,2.7096219328200235e+20,3.679875605502491e+17
2.5339999298610736,3.6143058395830428e+19,1.622294244308301e+19,4.41964357273845e+19,1.257459397201564e+19,1.5343021346348268e+19,8.73434300928979e+18,8.736683215530972e+18,2.6485767827265683e+20,3.6700836690760557e+17
2.822559518817317,3.696823547625763e+19,1.6240345253146956e+19,4.42381126136763e+19,1.24405455434914e+19,1.522940183730667e+19,8.680419241591586e+18,8.687692666871562e+18,2.582767163910473e+20,3.659372796335549e+17
3.1080331773526955,3.7855410016921715e+19,1.6247143524101267e+19,4.427733450552122e+19,1.2297130881558417e+19,1.51098645705662e+19,8.623528689056958e+18,8.635732603231828e+18,2.5130487617787252e+20,3.6478564002293824e+17
3.3901469407971856,3.879567554584874e+19,1.6241146121098123e+19,4.431278287996762e+19,1.214590052551457e+19,1.4985971300617048e+19,8.564393977981498e+18,8.581430622173549e+18,2.4402857489915095e+20,3.63565912520152e+17
