r_cm,ne_m-3,n+_m-3,n-_m-3,alpha
0.15111271804043516,1.2478389333551267e+17,4.21372908783764e+17,2.965890154482514e+17,2.376821298970034
0.4531642392322628,1.2423084274564333e+17,4.20699530934154e+17,2.964686881885107e+17,2.3864338487626306
0.754694815467764,1.2313406656248667e+17,4.193561287030786e+17,2.9622206214059206e+17,2.405687316355045
1.0553598080104576,1.2151193961012771e+17,4.17349499836952e+17,2.9583756022682445e+17,2.4346377909530723
1.3548185378002071,1.1939134746286266e+17,4.146900574150532e+17,2.952987099521905e+17,2.4733677626349335
1.652735815439179,1.1680690540495762e+17,4.113920608337975e+17,2.9458515542883994e+17,2.521984076262814
1.9487834183683697,1.1379996694634642e+17,4.074738782485774e+17,2.936739113022311e+17,2.580615084367207
2.2426415016516534,1.1041746141893251e+17,4.029582461214628e+17,2.9254078470253037e+17,2.6494069048789997
2.5339999298610736,1.0671060625904e+17,3.978724884590432e+17,2.911618822000032e+17,2.728518676889603
2.822559518817317,1.027335434895829e+17,3.922486584012115e+17,2.895151149116287e+17,2.81811670344054
3.1080331773526955,9.854195150975862e+16,3.861235680911942e+17,2.8758161658143555e+17,2.918367377298757
3.3901469407971856,9.419168253980374e+16,3.795386789640738e+17,2.853469964242701e+17,3.029428806558238
3.668640889506067,8.973747300901405e+16,3.725398331795709e+17,2.828023601705569e+17,3.1514410946489395
3.9432699474146715,8.523176897268678e+16,3.651768171019972e+17,2.7994504812931037e+17,3.2845152870054948
4.213804557286315,8.072370156686394e+16,3.575027585816724e+17,2.7677905701480848e+17,3.4287210774836767
4.480031230979536,7.625823895486029e+16,3.49573370427489e+17,2.7331513147262877e+17,3.5840734747941507
4.741752974668693,7.1875531712465864e+16,3.414460621511713e+17,2.6957053043870538e+17,3.7505187650939065
4.9987895904789985,6.761045877286823e+16,3.331789503305061e+17,2.655684915576378e+17,3.927920271178654
5.250977857418331,6.349237159391663e+16,3.2482980455734496e+17,2.6133743296342838e+17,4.116044595638758
5.498171595782775,5.9545025774707784e+16,3.1645497085901184e+17,2.569099450843041e+17,4.314549229625635
5.74024162036436,5.578668246434339e+16,3.081083176987434e+17,2.5232163523440003e+17,4.52297258213327
5.977075588786137,5.223035689190397e+16,2.99840251049399e+17,2.4760989415749498e+17,4.740727593915332
6.208577752123996,4.888418826655077e+16,2.916968442611339e+17,2.428126559945831e+17,4.967100091150103
6.4346686156434405,4.575190396729821e+16,2.837191249702449e+17,2.3796722100294662e+17,5.201252852188117
6.655284517983848,4.283335100091374e+16,2.7594255452559594e+17,2.331092035246821e+17,5.442235969810284
6.870377137466866,4.012506872172197e+16,2.6839672495455946e+17,2.2827165623283744e+17,5.689003495943201
7.079912934397284,3.762087840210531e+16,2.6110528450720374e+17,2.2348440610509837e+17,5.9404356197220505
7.283872538273989,3.5312467196521332e+16,2.540860862735452e+17,2.187736190770238e+17,6.195364879477337
7.48225008874786,3.318994633151966e+16,2.4735153712045968e+17,2.1416159078893997e+17,6.452604311250605
7.6750525389663204,3.1242366116335932e+16,2.4090910876974634e+17,2.0966674265341037e+17,6.710975150623446
7.862298929645567,2.9458173795558704e+16,2.347619619378149e+17,2.0530378814225616e+17,6.969331825084454
8.044019641826567,2.7825604475784468e+16,2.2890963032750816e+17,2.010840258517237e+17,7.22658248185477
8.220255635814988,2.6333000302335692e+16,2.2334871518173347e+17,1.970157148793978e+17,7.481704045016201
8.391057683293472,2.4969058508034612e+16,2.180735531949067e+17,1.9310449468687206e+17,7.733751539920273
8.556485599041498,2.372301455864408e+16,2.1307683995142246e+17,1.893538253927784e+17,7.981861871925655
8.716607478116956,2.258477201606813e+16,2.0835021610970035e+17,1.8576544409363222e+17,8.225252128357454
8.871498943756958,2.1544995573645904e+16,2.038848518457856e+17,1.8233985627213968e+17,8.463211591242096
9.021242410654596,2.059518750390957e+16,1.9967209250558957e+17,1.7907690500168003e+17,8.695084954564555
9.165926367673084,1.9727769607255496e+16,1.9570424766519488e+17,1.7597647805793942e+17,8.920241951387077
9.305644683477583,1.8936191106774284e+16,1.91975605104829e+17,1.730394139980548e+17,9.138026386740004
9.44049593800507,1.821507568523054e+16,1.8848371544382483e+17,1.702686397585943e+17,9.347676765167352
9.57058278215975,1.756040614045654e+16,1.8523090934411264e+17,1.6767050320365616e+17,9.548213285190966
9.696011327620301,1.696972293412083e+16,1.822258766317349e+17,1.652561536976141e+17,9.738294157138855
9.816890568178785,1.6442286941388254e+16,1.7948497893291552e+17,1.6304269199152726e+17,9.91605927890231
9.933331833602182,1.5979135354049354e+16,1.7703283785528422e+17,1.6105370250123494e+17,10.078999829012744
10.045448276616877,1.5582954552944554e+16,1.7490171322592947e+17,1.5931875867298496e+17,10.223912168368617
10.153354393265081,1.5257715216830074e+16,1.731293262689596e+17,1.5787161105212957e+17,10.347002077872627
10.257165576569625,1.5008065797192372e+16,1.7175510862137552e+17,1.5674704282418314e+17,10.444186808769624
10.356997703168924,1.4838551057208028e+16,1.7081530792219213e+17,1.559767568649841e+17,10.511589458002792
10.452966752345947,1.4752790566104528e+16,1.703378140800087e+17,1.5558502351390422e+17,10.5461419530601
