composition,bias,r_cm,nF_m-3,nF_normalized
90pct_SF6,bias_off,0.15111271804043516,2.1829343879508168e+20,1.0
90pct_SF6,bias_off,0.4531642392322628,2.1758471203590242e+20,0.9967533299988711
90pct_SF6,bias_off,0.754694815467764,2.1617785927348312e+20,0.9903085519506406
90pct_SF6,bias_off,1.0553598080104576,2.140939174096051e+20,0.9807620356861995
90pct_SF6,bias_off,1.3548185378002071,2.1136401337161757e+20,0.9682563733398833
90pct_SF6,bias_off,1.652735815439179,2.080288062764975e+20,0.9529778239087622
90pct_SF6,bias_off,1.9487834183683697,2.0413768146023118e+20,0.9351526211095198
90pct_SF6,bias_off,2.2426415016516534,1.9974766390999885e+20,0.9150419958224568
90pct_SF6,bias_off,2.5339999298610736,1.9492203475608584e+20,0.8929358382551514
90pct_SF6,bias_off,2.822559518817317,1.8972866270256916e+20,0.8691450542435813
90pct_SF6,bias_off,3.1080331773526955,1.842380995321506e+20,0.8439928407793337
90pct_SF6,bias_off,3.3901469407971856,1.785215286526118e+20,0.8178052883219963
90pct_SF6,bias_off,3.668640889506067,1.7264868901810884e+20,0.7909018703039404
90pct_SF6,bias_off,3.9432699474146715,1.6668591429373847e+20,0.763586460563349
90pct_SF6,bias_off,4.213804557286315,1.606944222767023e+20,0.7361394972001462
90pct_SF6,bias_off,4.480031230979536,1.5472896215673048e+20,0.7088117856898989
90pct_SF6,bias_off,4.741752974668693,1.4883688130148998e+20,0.6818202238373615
90pct_SF6,bias_off,4.9987895904789985,1.4305762092865634e+20,0.6553454914554195
90pct_SF6,bias_off,5.250977857418331,1.374226016899358e+20,0.6295315262266694
90pct_SF6,bias_off,5.498171595782775,1.3195542240583477e+20,0.6044864341053563
90pct_SF6,bias_off,5.74024162036436,1.2667227125295756e+20,0.5802843729621597
90pct_SF6,bias_off,5.977075588786137,1.215824351757923e+20,0.5569678861943497
90pct_SF6,bias_off,6.208577752123996,1.166887818340086e+20,0.5345501105214056
90pct_SF6,bias_off,6.4346686156434405,1.1198806441455446e+20,0.5130161723260994
90pct_SF6,bias_off,6.655284517983848,1.0747083631977811e+20,0.49232279684165897
90pct_SF6,bias_off,6.870377137466866,1.0312060315985922e+20,0.4723944234378088
90pct_SF6,bias_off,7.079912934397284,9.891144885694084e+19,0.45311233082819247
90pct_SF6,bias_off,7.283872538273989,9.480241332636811e+19,0.43428888128590004
90pct_SF6,bias_off,7.48225008874786,9.072450312643094e+19,0.4156080165634142
90pct_SF6,bias_off,7.6750525389663204,8.655013198049385e+19,0.3964852652385074
90pct_SF6,bias_off,7.862298929645567,8.302840409970654e+19,0.3803522660048783
90pct_SF6,bias_off,8.044019641826567,7.996122638457867e+19,0.3663015564093091
90pct_SF6,bias_off,8.220255635814988,7.724311106096274e+19,0.35384989804239175
90pct_SF6,bias_off,8.391057683293472,7.48096513506662e+19,0.3427022441150518
90pct_SF6,bias_off,8.556485599041498,7.261700638478185e+19,0.3326577600573214
90pct_SF6,bias_off,8.716607478116956,7.063283534575146e+19,0.32356829291629113
90pct_SF6,bias_off,8.871498943756958,6.883187332900324e+19,0.3153181044237326
90pct_SF6,bias_off,9.021242410654596,6.7193568654526185e+19,0.3078130475446984
90pct_SF6,bias_off,9.165926367673084,6.570071700472659e+19,0.3009743094770784
90pct_SF6,bias_off,9.305644683477583,6.4338615966836e+19,0.29473453861905813
90pct_SF6,bias_off,9.44049593800507,6.309451018435272e+19,0.28903530281357354
90pct_SF6,bias_off,9.57058278215975,6.195720857024058e+19,0.28382533580590846
90pct_SF6,bias_off,9.696011327620301,6.0916808698429235e+19,0.279059274683989
90pct_SF6,bias_off,9.816890568178785,5.996449098207121e+19,0.27469671701109444
90pct_SF6,bias_off,9.933331833602182,5.909236010004396e+19,0.27070149440229235
90pct_SF6,bias_off,10.045448276616877,5.829331954059652e+19,0.2670410978101735
90pct_SF6,bias_off,10.153354393265081,5.756097008815506e+19,0.2636862124939504
90pct_SF6,bias_off,10.257165576569625,5.68895261088286e+19,0.26061033452422006
90pct_SF6,bias_off,10.356997703168924,5.627374540144242e+19,0.2577894494312685
90pct_SF6,bias_off,10.452966752345947,5.57088696215191e+19,0.25520175928794
90pct_SF6,bias_on,0.15111271804043516,3.036886609606378e+20,1.0
90pct_SF6,bias_on,0.4531642392322628,3.027296788941312e+20,0.9968422197145157
90pct_SF6,bias_on,0.754694815467764,3.0082604523341074e+20,0.9905738471822689
90pct_SF6,bias_on,1.0553598080104576,2.980061548951526e+20,0.9812883824917593
90pct_SF6,bias_on,1.3548185378002071,2.943119213845575e+20,0.9691238403619697
90pct_SF6,bias_on,1.652735815439179,2.897979269951342e+20,0.9542599518811008
90pct_SF6,bias_on,1.9487834183683697,2.845302416409604e+20,0.936914275103078
90pct_SF6,bias_on,2.2426415016516534,2.78584889687208e+20,0.91733714655654
90pct_SF6,bias_on,2.5339999298610736,2.720459629265231e+20,0.895805467566614
90pct_SF6,bias_on,2.822559518817317,2.65003408631599e+20,0.8726154206526238
90pct_SF6,bias_on,3.1080331773526955,2.5755056110188623e+20,0.8480743412914856
90pct_SF6,bias_on,3.3901469407971856,2.497815265816936e+20,0.8224921068556744
90pct_SF6,bias_on,3.668640889506067,2.4178856544879005e+20,0.7961725165633666
90pct_SF6,bias_on,3.9432699474146715,2.3365963228769953e+20,0.7694051913185689
90pct_SF6,bias_on,4.213804557286315,2.2547622688789715e+20,0.7424584973790705
90pct_SF6,bias_on,4.480031230979536,2.1731167841299412e+20,0.7155738963897657
90pct_SF6,bias_on,4.741752974668693,2.0922993175017642e+20,0.6889619490182265
90pct_SF6,bias_on,4.9987895904789985,2.0128484642007902e+20,0.6628000063728697
90pct_SF6,bias_on,5.250977857418331,1.9351996466452287e+20,0.6372314463515834
90pct_SF6,bias_on,5.498171595782775,1.859686606967408e+20,0.6123661650997396
90pct_SF6,bias_on,5.74024162036436,1.7865455314173516e+20,0.5882819351127871
90pct_SF6,bias_on,5.977075588786137,1.7159204265607276e+20,0.5650261755354554
90pct_SF6,bias_on,6.208577752123996,1.647868162801899e+20,0.5426176129162377
90pct_SF6,bias_on,6.4346686156434405,1.5823612029648883e+20,0.5210471796870888
90pct_SF6,bias_on,6.655284517983848,1.5192850771673983e+20,0.5002771826783214
