P_rf_W,eta,I_peak_A,R_plasma_Ohm
200,0.9577906108797278,4.5939846059968525,18.153129070891477
300,0.9563101499504599,5.72428052572155,17.510889121681096
400,0.9545407036816073,6.742350948919282,16.79816065776455
500,0.9527235358499462,7.6873649703632,16.121739270957942
600,0.9509098913284808,8.581093345680296,15.496562009123046
700,0.9491171215289207,9.43636780357722,14.922380966609472
800,0.9473937508053932,10.257314384828685,14.407318754860345
900,0.9456612186142712,11.05722651110529,13.92245014699774
1000,0.9439567358649823,11.836729292230359,13.474686036713791
1100,0.9422805672878602,12.598747555149446,13.060150081338932
1200,0.9406224851922141,13.346630452041351,12.673113561416693
