platform,config,nF_rmse_mean_log10,nF_rmse_std,seed1_rmse,seed2_rmse,seed3_rmse
workstation,none,0.049084523071845375,0.013775636894151436,0.06777425110340118,0.03497806191444397,0.044501256197690964
workstation,bias_only,0.008979096387823423,0.0005386903264376846,0.008752690628170967,0.008462349884212017,0.009722248651087284
workstation,reg_only,0.05110890418291092,0.015536799025811383,0.07258223742246628,0.03633984923362732,0.04440462589263916
workstation,epochs_only,0.048171146462361016,0.012316871432679994,0.06502597779035568,0.0359366349875927,0.043550826609134674
workstation,all_three,0.009481199085712433,0.000689583420299583,0.009704404510557652,0.008547451347112656,0.010191741399466991
hpc_cluster,none,0.022356651723384857,0.0013952433762788653,0.022795377299189568,0.020471246913075447,0.023803330957889557
hpc_cluster,bias_only,0.008002111222594976,0.0004335176427421997,0.007796704303473234,0.007604552432894707,0.008605076931416988
hpc_cluster,reg_only,0.02245633366207282,2.4624160528657485e-05,0.02246985398232937,0.022421780973672867,0.022477366030216217
hpc_cluster,epochs_only,0.02171840953330199,0.0004454962692209586,0.021292202174663544,0.022333335131406784,0.02152969129383564
hpc_cluster,all_three,0.008296103216707706,0.0008716752869296792,0.008026216179132462,0.007389366626739502,0.009472726844251156
