channel,rmse_log10,mae_log10,ens_spread,n_ensemble
Te,0.0015837776008993387,0.0009191181161440909,0.000881387444678694,5
ion_F+,0.0045539564453065395,0.0025907051749527454,0.002248127479106188,5
ion_F-,0.005048437975347042,0.002711353125050664,0.0027133519761264324,5
ion_SF3+,0.004301861859858036,0.002455292269587517,0.002266394905745983,5
ion_SF4+,0.004455340560525656,0.002562430454418063,0.002219686983153224,5
ion_SF4-,0.005046844016760588,0.0027048815973103046,0.002697200747206807,5
ion_SF5+,0.004343756940215826,0.002494898159056902,0.0024136751890182495,5
ion_SF5-,0.0051043336279690266,0.002695959061384201,0.0028428081423044205,5
ion_SF6-,0.005048403982073069,0.0026844595558941364,0.0026840069331228733,5
ion_n+,0.004447522573173046,0.0025311484932899475,0.0022455211728811264,5
ion_n-,0.005111749283969402,0.002749878913164139,0.002617726568132639,5
ion_ne,0.00892348401248455,0.004785171709954739,0.0045134080573916435,5
nF,0.005600705277174711,0.0026119695976376534,0.0025398789439350367,5
nF2,0.006525947712361813,0.003074179170653224,0.0018839065451174974,5
nS,0.0070047746412456036,0.004124902188777924,0.004457058850675821,5
nSF,0.00793365202844143,0.0036337871570140123,0.002290165750309825,5
nSF2,0.007032204419374466,0.004003673791885376,0.003463712055236101,5
nSF3,0.004806105047464371,0.0028877980075776577,0.002891118638217449,5
nSF4,0.0054307905957102776,0.002381255617365241,0.0022862274199724197,5
nSF5,0.0038552500773221254,0.0021876608952879906,0.002581249224022031,5
nSF6,0.007879716344177723,0.004335219971835613,0.00384849077090621,5
