T_e (eV),LXCat Biagi_v10_6 [k_iz (m^3 s^-1)],Lallement Arrhenius [k_iz (m^3 s^-1)]
0.8,1.015580648e-23,1.823511078e-23
0.82305764411,1.811841991e-23,3.441959639e-23
0.846115288221,3.135822223e-23,6.276462433e-23
0.869172932331,5.277719476e-23,1.108736995e-22
0.892230576441,8.656384124e-23,1.902023492e-22
0.915288220551,1.386309423e-22,3.175692339e-22
0.938345864662,2.171567453e-22,5.170863672e-22
0.961403508772,3.332420545e-22,8.225713495e-22
0.984461152882,5.01694878e-22,1.280501634e-21
1.007518796992,7.419531163e-22,1.953565408e-21
1.030576441103,1.079154273e-21,2.92485585e-21
1.053634085213,1.545359384e-21,4.302745468e-21
1.076691729323,2.180936361e-21,6.226465457e-21
1.099749373434,3.036105787e-21,8.872401732e-21
1.122807017544,4.172649953e-21,1.246110524e-20
1.145864661654,5.665783631e-21,1.726499957e-20
1.168922305764,7.606182844e-21,2.361675448e-20
1.191979949875,1.010216569e-20,3.191827998e-20
1.215037593985,1.328201727e-20,4.265028273e-20
1.238095238095,1.729644876e-20,5.638231476e-20
1.261152882206,2.232117922e-20,7.378323427e-20
1.284210526316,2.855962681e-20,9.563199011e-20
1.307268170426,3.624569537e-20,1.228286349e-19
1.330325814536,4.564664077e-20,1.564054673e-19
1.353383458647,5.70660009e-20,1.975382004e-19
1.376441102757,7.08465727e-20,2.475570549e-19
1.399498746867,8.737341894e-20,3.079576732e-19
1.422556390977,1.070768877e-19,3.80411756e-19
1.445614035088,1.304356272e-19,4.667773263e-19
1.468671679198,1.579795797e-19,5.691085302e-19
1.491729323308,1.902929366e-19,6.896648913e-19
1.514786967419,2.280170409e-19,8.309199424e-19
1.537844611529,2.718532195e-19,9.955691667e-19
1.560902255639,3.225655329e-19,1.186537188e-18
1.583959899749,3.809834276e-19,1.406984159e-18
1.60701754386,4.480042787e-19,1.660311306e-18
1.63007518797,5.245958117e-19,1.9501656e-18
1.65313283208,6.117983926e-19,2.280443516e-18
1.67619047619,7.107271773e-19,2.65529389e-18
1.699248120301,8.225741111e-19,3.079119838e-18
1.722305764411,9.486097725e-19,3.556579756e-18
1.745363408521,1.090185054e-18,4.092587397e-18
1.768421052632,1.248732674e-18,4.69231105e-18
1.791478696742,1.425768522e-18,5.361171829e-18
1.814536340852,1.622892823e-18,6.1048411e-18
1.837593984962,1.84179113e-18,6.929237085e-18
1.860651629073,2.084235134e-18,7.840520663e-18
1.883709273183,2.352083306e-18,8.845090419e-18
1.906766917293,2.64728135e-18,9.949576975e-18
1.929824561404,2.97186249e-18,1.116083664e-17
1.952882205514,3.327947576e-18,1.248594445e-17
1.975939849624,3.717745026e-18,1.393218659e-17
1.998997493734,4.143550598e-18,1.550705236e-17
2.022055137845,4.607746996e-18,1.721822552e-17
2.045112781955,5.11280332e-18,1.907357536e-17
2.068170426065,5.661274365e-18,2.108114727e-17
2.091228070175,6.255799763e-18,2.3249153e-17
2.114285714286,6.899102989e-18,2.558596062e-17
2.137343358396,7.593990228e-18,2.810008426e-17
2.160401002506,8.343349109e-18,3.080017362e-17
2.183458646617,9.150147315e-18,3.369500331e-17
2.206516290727,1.001743108e-17,3.679346211e-17
2.229573934837,1.094832354e-17,4.010454211e-17
2.252631578947,1.194602308e-17,4.363732782e-17
2.275689223058,1.301380141e-17,4.740098528e-17
2.298746867168,1.415500173e-17,5.140475122e-17
2.321804511278,1.537303668e-17,5.565792221e-17
2.344862155388,1.66713863e-17,6.016984398e-17
2.367919799499,1.805359584e-17,6.494990079e-17
2.390977443609,1.952327356e-17,7.0007505e-17
2.414035087719,2.108408847e-17,7.535208673e-17
2.43709273183,2.273976795e-17,8.09930838e-17
2.46015037594,2.449409544e-17,8.693993181e-17
2.48320802005,2.635090796e-17,9.320205443e-17
2.50626566416,2.83140937e-17,9.978885401e-17
2.529323308271,3.038758951e-17,1.067097024e-16
2.552380952381,3.257537842e-17,1.139739318e-16
2.575438596491,3.488148709e-17,1.215908267e-16
2.598496240602,3.730998326e-17,1.295696147e-16
2.621553884712,3.986497326e-17,1.379194591e-16
2.644611528822,4.255059937e-17,1.46649451e-16
2.667669172932,4.537103735e-17,1.557686014e-16
2.690726817043,4.833049382e-17,1.652858347e-16
2.713784461153,5.143320378e-17,1.752099815e-16
2.736842105263,5.468342803e-17,1.855497718e-16
2.759899749373,5.808545067e-17,1.963138293e-16
2.782957393484,6.164357663e-17,2.075106653e-16
2.806015037594,6.536212916e-17,2.19148673e-16
2.829072681704,6.924544741e-17,2.312361222e-16
2.852130325815,7.329788397e-17,2.437811543e-16
2.875187969925,7.752380254e-17,2.567917779e-16
2.898245614035,8.192757552e-17,2.702758639e-16
2.921303258145,8.65135817e-17,2.842411419e-16
2.944360902256,9.128620399e-17,2.98695196e-16
2.967418546366,9.624982716e-17,3.136454616e-16
2.990476190476,1.014088356e-16,3.290992218e-16
3.013533834586,1.067676113e-16,3.450636048e-16
3.036591478697,1.123305315e-16,3.615455807e-16
3.059649122807,1.181019669e-16,3.785519595e-16
3.082706766917,1.240862792e-16,3.960893886e-16
3.105764411028,1.302878197e-16,4.141643509e-16
3.128822055138,1.367109268e-16,4.327831631e-16
3.151879699248,1.433599246e-16,4.519519742e-16
3.174937343358,1.502391206e-16,4.716767638e-16
3.197994987469,1.573528045e-16,4.919633419e-16
3.221052631579,1.647052457e-16,5.12817347e-16
3.244110275689,1.723006924e-16,5.342442461e-16
3.267167919799,1.801433693e-16,5.562493341e-16
3.29022556391,1.882374766e-16,5.788377331e-16
3.31328320802,1.965871881e-16,6.020143928e-16
3.33634085213,2.051966498e-16,6.257840902e-16
3.359398496241,2.140699783e-16,6.501514298e-16
3.382456140351,2.2321126e-16,6.75120844e-16
3.405513784461,2.326245491e-16,7.006965937e-16
