T_e (eV),LXCat Biagi_v10_6 [k_el (m^3 s^-1)],Lallement Arrhenius [k_el (m^3 s^-1)]
0.8,8.974800098e-14,4.293939072e-14
0.82305764411,9.048083172e-14,4.525517412e-14
0.846115288221,9.124079597e-14,4.755949941e-14
0.869172932331,9.202447644e-14,4.984962912e-14
0.892230576441,9.282885148e-14,5.212318336e-14
0.915288220551,9.365124762e-14,5.437810351e-14
0.938345864662,9.44892981e-14,5.6612619e-14
0.961403508772,9.534090643e-14,5.882521709e-14
0.984461152882,9.620421453e-14,6.101461539e-14
1.007518796992,9.707757474e-14,6.317973702e-14
1.030576441103,9.795952525e-14,6.531968817e-14
1.053634085213,9.884876852e-14,6.743373788e-14
1.076691729323,9.974415226e-14,6.952129987e-14
1.099749373434,1.006446528e-13,7.158191617e-14
1.122807017544,1.015493604e-13,7.361524248e-14
1.145864661654,1.024574661e-13,7.562103499e-14
1.168922305764,1.033682505e-13,7.759913863e-14
1.191979949875,1.042810738e-13,7.954947652e-14
1.215037593985,1.051953664e-13,8.147204051e-14
1.238095238095,1.061106216e-13,8.336688279e-14
1.261152882206,1.070263881e-13,8.52341083e-14
1.284210526316,1.079422644e-13,8.707386804e-14
1.307268170426,1.088578926e-13,8.888635304e-14
1.330325814536,1.097729546e-13,9.0671789e-14
1.353383458647,1.106871666e-13,9.243043152e-14
1.376441102757,1.116002763e-13,9.41625618e-14
1.399498746867,1.125120588e-13,9.586848288e-14
1.422556390977,1.134223143e-13,9.754851626e-14
1.445614035088,1.143308646e-13,9.920299883e-14
1.468671679198,1.152375514e-13,1.008322803e-13
1.491729323308,1.16142234e-13,1.024367206e-13
1.514786967419,1.170447872e-13,1.040166883e-13
1.537844611529,1.179450998e-13,1.055725579e-13
1.560902255639,1.188430732e-13,1.071047089e-13
1.583959899749,1.197386201e-13,1.086135242e-13
1.60701754386,1.206316628e-13,1.100993885e-13
1.63007518797,1.215221331e-13,1.115626873e-13
1.65313283208,1.224099703e-13,1.130038062e-13
1.67619047619,1.232951211e-13,1.144231295e-13
1.699248120301,1.241775388e-13,1.158210399e-13
1.722305764411,1.250571821e-13,1.171979175e-13
1.745363408521,1.259340151e-13,1.185541395e-13
1.768421052632,1.268080066e-13,1.198900793e-13
1.791478696742,1.276791293e-13,1.212061066e-13
1.814536340852,1.285473599e-13,1.225025866e-13
1.837593984962,1.294126784e-13,1.237798797e-13
1.860651629073,1.302750678e-13,1.250383415e-13
1.883709273183,1.311345138e-13,1.262783224e-13
1.906766917293,1.319910046e-13,1.275001676e-13
1.929824561404,1.328445307e-13,1.287042164e-13
1.952882205514,1.336950844e-13,1.29890803e-13
1.975939849624,1.345426601e-13,1.310602555e-13
1.998997493734,1.353872536e-13,1.322128964e-13
2.022055137845,1.362288623e-13,1.333490424e-13
2.045112781955,1.370674848e-13,1.344690043e-13
2.068170426065,1.379031212e-13,1.355730871e-13
2.091228070175,1.387357724e-13,1.3666159e-13
2.114285714286,1.395654404e-13,1.377348064e-13
2.137343358396,1.403921282e-13,1.387930239e-13
2.160401002506,1.412158396e-13,1.398365245e-13
2.183458646617,1.420365792e-13,1.408655842e-13
2.206516290727,1.42854352e-13,1.418804737e-13
2.229573934837,1.436691639e-13,1.428814582e-13
2.252631578947,1.444810214e-13,1.438687971e-13
2.275689223058,1.452899314e-13,1.448427446e-13
2.298746867168,1.460959012e-13,1.458035497e-13
2.321804511278,1.468989387e-13,1.46751456e-13
2.344862155388,1.476990521e-13,1.47686702e-13
2.367919799499,1.484962499e-13,1.486095212e-13
2.390977443609,1.49290541e-13,1.49520142e-13
2.414035087719,1.500819347e-13,1.50418788e-13
2.43709273183,1.508704403e-13,1.513056782e-13
2.46015037594,1.516560676e-13,1.521810266e-13
2.48320802005,1.524388264e-13,1.530450428e-13
2.50626566416,1.532187269e-13,1.53897932e-13
2.529323308271,1.539957793e-13,1.547398946e-13
2.552380952381,1.54769994e-13,1.555711271e-13
2.575438596491,1.555413816e-13,1.563918216e-13
