E/N (Td),"pure SF6, Maxwellian (m^3 s^-1)","pure SF6, two-term Boltzmann (m^3 s^-1)","90% SF6, Maxwellian (m^3 s^-1)","90% SF6, two-term Boltzmann (m^3 s^-1)","33% SF6 (Ar-diluted), Maxwellian (m^3 s^-1)","33% SF6 (Ar-diluted), two-term Boltzmann (m^3 s^-1)"
1.0,1.442368687e-14,1.715568847e-14,1.383219808e-14,1.637881212e-14,1.40461168e-14,1.683468688e-14
3.0,1.236087862e-14,1.499063767e-14,1.432082984e-14,1.712461242e-14,1.430977373e-14,1.714461346e-14
5.0,1.30625966e-14,1.571826963e-14,1.352398683e-14,1.615628822e-14,1.386639737e-14,1.655042608e-14
10.0,1.273286791e-14,1.520613458e-14,1.343462989e-14,1.602291909e-14,1.271654173e-14,1.52364291e-14
20.0,1.114569188e-14,1.352645565e-14,1.180411924e-14,1.427383613e-14,8.177896075e-15,9.826371448e-15
30.0,9.20817097e-15,1.124567635e-14,8.827853667e-15,1.078032487e-14,5.917171928e-15,6.973621904e-15
50.0,6.030833768e-15,7.391412368e-15,5.767343587e-15,7.045345942e-15,4.223367792e-15,4.579903265e-15
70.0,4.568879045e-15,5.560928173e-15,4.404352588e-15,5.318830548e-15,3.002073197e-15,3.030369534e-15
80.0,4.144205454e-15,5.007835738e-15,4.01993307e-15,4.803945717e-15,2.602169185e-15,2.556111035e-15
90.0,3.841774827e-15,4.595061562e-15,3.752538713e-15,4.420960682e-15,2.289829574e-15,2.198507869e-15
100.0,3.625978207e-15,4.278696753e-15,3.565039622e-15,4.124617787e-15,2.047004452e-15,1.92490398e-15
110.0,3.469582269e-15,4.026098358e-15,3.418696882e-15,3.872425997e-15,1.859621274e-15,1.713403296e-15
120.0,3.341757692e-15,3.804253558e-15,3.24787116e-15,3.604932099e-15,1.715029426e-15,1.548061521e-15
130.0,3.193632303e-15,3.569108652e-15,3.022926953e-15,3.304493263e-15,1.60253339e-15,1.41704657e-15
140.0,2.99923956e-15,3.304071668e-15,2.792618196e-15,3.017782041e-15,1.51375227e-15,1.311651503e-15
150.0,2.792001275e-15,3.042650623e-15,2.582033479e-15,2.764146784e-15,1.44244329e-15,1.225550654e-15
160.0,2.597039784e-15,2.805603329e-15,2.395947863e-15,2.54439768e-15,1.384084049e-15,1.154182015e-15
175.0,2.341493139e-15,2.502429462e-15,2.161010467e-15,2.270762854e-15,1.314003507e-15,1.06779848e-15
200.0,2.011888924e-15,2.118213215e-15,1.868139999e-15,1.931746818e-15,1.227653105e-15,9.620143846e-16
225.0,1.778310555e-15,1.846543237e-15,1.66578497e-15,1.695361555e-15,1.164521445e-15,8.874152441e-16
250.0,1.611941068e-15,1.650762181e-15,1.523139127e-15,1.525133076e-15,1.115519863e-15,8.32919327e-16
275.0,1.490638805e-15,1.505063318e-15,1.418981399e-15,1.397278387e-15,1.075818167e-15,7.920055126e-16
300.0,1.399208042e-15,1.392372197e-15,1.339706234e-15,1.297037676e-15,1.042610456e-15,7.605686991e-16
350.0,1.269793032e-15,1.226764462e-15,1.225163191e-15,1.147417646e-15,9.892676549e-16,7.161882682e-16
400.0,1.179829563e-15,1.107905499e-15,1.143431421e-15,1.039561631e-15,9.473133515e-16,6.868478344e-16
450.0,1.111051165e-15,1.017582841e-15,1.079930805e-15,9.585687203e-16,9.12675219e-16,6.661306575e-16
500.0,1.055275242e-15,9.473202898e-16,1.028026527e-15,8.967047157e-16,8.830780888e-16,6.50627503e-16
1000.0,7.658052981e-16,7.02120806e-16,7.55754755e-16,6.897838303e-16,7.018976541e-16,5.786959278e-16
