E/N (Td),"pure SF6, Maxwellian (m^3 s^-1)","pure SF6, two-term Boltzmann (m^3 s^-1)","90% SF6, Maxwellian (m^3 s^-1)","90% SF6, two-term Boltzmann (m^3 s^-1)","33% SF6 (Ar-diluted), Maxwellian (m^3 s^-1)","33% SF6 (Ar-diluted), two-term Boltzmann (m^3 s^-1)"
1.0,1.407205191e-23,nan,2.691406187e-23,nan,2.127443926e-23,nan
3.0,1.384914266e-22,2.44030171e-26,1.574578931e-23,nan,1.593730091e-23,2.117197798e-28
5.0,6.310329016e-23,nan,3.781567333e-23,nan,2.591982729e-23,nan
10.0,9.119395439e-23,nan,4.174625344e-23,nan,9.287660081e-23,nan
20.0,5.52945752e-22,2.302120917e-26,2.601432399e-22,4.697606216e-27,1.912507575e-20,1.25966044e-23
30.0,5.417593847e-21,1.837000015e-24,8.591781978e-21,4.098188241e-24,3.608500666e-19,1.656166433e-21
50.0,3.090634314e-19,1.778317209e-21,4.432473946e-19,3.055969114e-21,4.156859251e-18,8.696293219e-21
70.0,2.464007122e-18,4.275788381e-20,3.15486421e-18,6.056857959e-20,3.065150802e-17,2.017106224e-19
80.0,4.696291542e-18,1.122212645e-19,5.69787707e-18,1.459643855e-19,6.321667283e-17,9.494619713e-19
90.0,7.547733391e-18,2.281901113e-19,8.705479732e-18,2.706712384e-19,1.150909364e-16,3.061238663e-18
100.0,1.068277677e-17,3.803856194e-19,1.180100225e-17,4.024889719e-19,1.880211567e-16,7.480704244e-18
110.0,1.381137515e-17,5.348027144e-19,1.503007206e-17,4.913996857e-19,2.795079082e-16,1.496762437e-17
120.0,1.709651205e-17,6.50745064e-19,2.00395057e-17,5.753597813e-19,3.841633718e-16,2.590544028e-17
130.0,2.198398547e-17,7.693697272e-19,2.954996137e-17,8.604380854e-19,4.960364089e-16,4.031275281e-17
140.0,3.080457394e-17,1.078226311e-18,4.453919212e-17,1.511927955e-18,6.102333563e-16,5.796414187e-17
150.0,4.45890023e-17,1.744812925e-18,6.564251175e-17,2.702908783e-18,7.234391321e-16,7.851941799e-17
160.0,6.382523179e-17,2.92150253e-18,9.354135411e-17,4.65924065e-18,8.337394141e-16,1.01614246e-16
175.0,1.039883993e-16,6.067093929e-18,1.488750366e-16,9.578370713e-18,9.91898131e-16,1.40284865e-16
200.0,2.022695525e-16,1.676516018e-17,2.744136172e-16,2.49580304e-17,1.235040086e-15,2.132234557e-16
225.0,3.337836031e-16,3.665072281e-17,4.292446349e-16,5.122054293e-17,1.455324751e-15,2.940953167e-16
250.0,4.85405895e-16,6.705084889e-17,5.968671965e-16,8.87575862e-17,1.656917169e-15,3.807943679e-16
275.0,6.445956363e-16,1.078007661e-16,7.656872638e-16,1.366132065e-16,1.843408219e-15,4.719183341e-16
300.0,8.034473663e-16,1.578939141e-16,9.302805743e-16,1.933760117e-16,2.017621274e-15,5.665085079e-16
350.0,1.108905754e-15,2.813084928e-16,1.242982652e-15,3.285532981e-16,2.337561538e-15,7.636084851e-16
400.0,1.398114984e-15,4.292930306e-16,1.53850143e-15,4.865782473e-16,2.629412612e-15,9.687356107e-16
450.0,1.676810963e-15,5.966673009e-16,1.823034048e-15,6.626386081e-16,2.901342135e-15,1.180110897e-15
500.0,1.949086261e-15,7.799603529e-16,2.099916277e-15,8.533695421e-16,3.158799893e-15,1.39672162e-15
1000.0,4.462051376e-15,3.069114064e-15,4.599056973e-15,3.167663073e-15,5.417464723e-15,3.765179758e-15
