E/N (Td),"pure SF6, Maxwellian (m^3 s^-1)","pure SF6, two-term Boltzmann (m^3 s^-1)","90% SF6, Maxwellian (m^3 s^-1)","90% SF6, two-term Boltzmann (m^3 s^-1)","33% SF6 (Ar-diluted), Maxwellian (m^3 s^-1)","33% SF6 (Ar-diluted), two-term Boltzmann (m^3 s^-1)"
1.0,2.287862363e-28,nan,6.280029326e-28,nan,4.355433583e-28,nan
3.0,7.986299505e-27,nan,2.725748253e-28,nan,2.777576005e-28,nan
5.0,2.360747872e-27,nan,1.065698782e-27,nan,5.922806988e-28,nan
10.0,4.179640305e-27,nan,1.242733871e-27,nan,4.299825499e-27,nan
20.0,6.78912823e-26,nan,2.118505324e-26,nan,1.565047841e-23,nan
30.0,2.270810735e-24,nan,4.602883228e-24,nan,1.36554624e-21,nan
50.0,1.079828813e-21,nan,1.864616531e-21,nan,5.475567562e-20,nan
70.0,2.489755526e-20,nan,3.613747708e-20,nan,1.106944243e-18,1.652486623e-25
80.0,6.580172131e-20,1.104316921e-28,8.803498139e-20,5.396539325e-28,3.292291081e-18,5.590225905e-24
90.0,1.34415488e-19,5.056949988e-27,1.666152134e-19,1.811052141e-26,8.129552059e-18,7.61763627e-23
100.0,2.267056251e-19,9.305126466e-26,2.633339561e-19,2.517094319e-25,1.70811222e-17,5.530833109e-22
110.0,3.336424343e-19,8.707412279e-25,3.789004058e-19,1.765119319e-24,3.117212214e-17,2.582625574e-21
120.0,4.599212793e-19,4.790429932e-24,5.84047326e-19,8.109816541e-24,5.057981473e-17,8.795701105e-21
130.0,6.713539252e-19,1.880583324e-23,1.047629833e-18,3.554763234e-23,7.471463894e-17,2.379207824e-20
140.0,1.115272876e-18,6.868488807e-23,1.942693234e-18,1.490000162e-22,1.025958143e-16,5.421060429e-20
150.0,1.94596542e-18,2.429339945e-22,3.484534798e-18,5.4594972e-22,1.332065045e-16,1.084363935e-19
160.0,3.340170845e-18,7.803435422e-22,5.944600123e-18,1.716090024e-21,1.656880725e-16,1.961305968e-19
175.0,6.974798547e-18,3.586539287e-21,1.199602811e-17,7.356140616e-21,2.165546877e-16,4.134021471e-19
200.0,1.908050626e-17,2.653524834e-20,3.031289778e-17,4.785432773e-20,3.039480262e-16,1.094493494e-18
225.0,4.08303833e-17,1.179715056e-19,5.99066106e-17,1.90662218e-19,3.920947146e-16,2.316871102e-18
250.0,7.22812139e-17,3.687905591e-19,9.917247169e-17,5.467886378e-19,4.797841086e-16,4.231394708e-18
275.0,1.115847554e-16,9.023150399e-19,1.45346747e-16,1.252005269e-18,5.666013017e-16,6.971213479e-18
300.0,1.565153522e-16,1.855646605e-18,1.96154635e-16,2.447547379e-18,6.524614157e-16,1.065326418e-17
350.0,2.572669287e-16,5.558685772e-18,3.069818348e-16,6.842855782e-18,8.216352999e-16,2.124856989e-17
400.0,3.684148977e-16,1.246518985e-17,4.274822917e-16,1.470487699e-17,9.884070715e-16,3.673711941e-17
450.0,4.887885809e-16,2.342025326e-17,5.568569837e-16,2.686137856e-17,1.154050872e-15,5.773657614e-17
500.0,6.181458934e-16,3.914322605e-17,6.945752277e-16,4.401073717e-17,1.319689393e-15,8.479844888e-17
1000.0,2.281481406e-15,5.49470734e-16,2.393945765e-15,5.779291095e-16,3.108106816e-15,7.831391669e-16
